PMID	Journal	Title	Authors	 
10030088	Rev Med Chil. 1998 Oct;126(10):1173-81.	Predictors of readmission in patients with congestive heart failure.	[Article in Spanish]	 
21790921	Intern Med J. 2012 Jun;42(6):677-82. doi: 10.1111/j.1445-5994.2011.02562.x.	Risk factors for 30-day readmission in general medical patients admitted from the emergency department: a single centre study.	"Shu CC(1), Lin YF, Hsu NC, Ko WJ."	 
16849885	Am J Geriatr Cardiol. 2006 Jul-Aug;15(4):202-7.	B-type natriuretic peptide predicts postdischarge prognosis in elderly patients admitted due to cardiogenic pulmonary edema.	"Valle R(1), Prevaldi C, D'Eri A, Fontebasso A, Giovinazzo P, Noventa F, Barro S,  Carbonieri E, Milani L, Aspromonte N."	 
25756438	JAMA. 2015 Mar 10;313(10):1019-28. doi: 10.1001/jama.2015.1474.	Clinical outcomes at 1 year following transcatheter aortic valve replacement.	"Holmes DR Jr(1), Brennan JM(2), Rumsfeld JS(3), Dai D(2), O'Brien SM(2), Vemulapalli S(2), Edwards FH(4), Carroll J(5), Shahian D(6), Grover F(5), Tuzcu EM(7), Peterson ED(8), Brindis RG(9), Mack MJ(10); STS/ACC TVT Registry."	 
25129066	Am J Cardiol. 2014 Sep 1;114(5):737-42. doi: 10.1016/j.amjcard.2014.05.062. Epub  2014 Jun 19.	Effect of spironolactone on 30-day death and heart failure rehospitalization (from the COACH Study).	"Maisel A(1), Xue Y(2), van Veldhuisen DJ(3), Voors AA(3), Jaarsma T(4), Pang PS(5), Butler J(6), Pitt B(7), Clopton P(2), de Boer RA(3)."	 
20714238	J Cardiovasc Nurs. 2010 Sep-Oct;25(5):405-10. doi: 10.1097/JCN.0b013e3181d26011.	Low blood pressure and preserved systolic function in elders with heart failure.	Murphy M(1).	 
19450095	J Med Econ. 2008;11(3):397-414. doi: 10.3111/13696990802193081.	"Resource utilisation, charges and mortality following hospital inpatient admission for congestive heart failure among the elderly in the US."	"Bharmal M(1), Gemmen E, Zyczynski T, Linnstaedt A, Kenny D, Marelli C."	 
18957786	Circ J. 2008 Dec;72(12):2004-8. Epub 2008 Oct 29.	Inhibition of the renin-angiotensin system prevents re-hospitalization of heart failure patients with preserved ejection fraction.	"Komukai K(1), Yagi H, Ogawa T, Date T, Morimoto S, Kawai M, Hongo K, Taniguchi I, Yoshimura M."	 
16407734	J Cardiovasc Nurs. 2006 Jan-Feb;21(1):27-33.	Overweight and obesity in the context of heart failure: implications for practice and future research.	"Evangelista LS(1), Miller PS."	 
18577827	Circ J. 2008 Jul;72(7):1152-7.	Decreased renal function as an independent predictor of re-hospitalization for congestive heart failure.	"Komukai K(1), Ogawa T, Yagi H, Date T, Sakamoto H, Kanzaki Y, Shibayama K, Hashimoto K, Inada K, Minai K, Ogawa K, Kosuga T, Kawai M, Hongo K, Taniguchi I,  Yoshimura M."	 
18926148	Am Heart J. 2008 Oct;156(4):662-73. doi: 10.1016/j.ahj.2008.04.030.	Predictors of mortality after discharge in patients hospitalized with heart failure: an analysis from the Organized Program to Initiate Lifesaving Treatment  in Hospitalized Patients with Heart Failure (OPTIMIZE-HF).	"O'Connor CM(1), Abraham WT, Albert NM, Clare R, Gattis Stough W, Gheorghiade M, Greenberg BH, Yancy CW, Young JB, Fonarow GC."	 
21909806	Heart Vessels. 2012 Nov;27(6):568-75. doi: 10.1007/s00380-011-0185-6. Epub 2011 Sep 10.	"Aspirin, clopidogrel, and warfarin use and outcomes in a cohort of 580 patients discharged after hospitalization for decompensated heart failure."	"Kozdağ G(1), Yaymacı M, Ertaş G, Celikyurt U, Sahin T, Kılıç T, Ural D."	 
3499292	Chest. 1987 Nov;92(5):800-3.	Determinants of discharge following coronary artery bypass graft surgery.	"Lazar HL(1), Wilcox K, McCormick JR, Roberts AJ."	 
CID: PMC4004935 PMID: 24776611	Dtsch Arztebl Int. 2014 Apr 11;111(15):264-70. doi: 10.3238/arztebl.2014.0264.	"Case management program for patients with chronic heart failure: effectiveness in terms of mortality, hospital admissions and costs."	"Hendricks V(1), Schmidt S, Vogt A, Gysan D, Latz V, Schwang I, Griebenow R, Riedel R."	 
19356487	JACC Cardiovasc Imaging. 2008 Sep;1(5):595-601. doi: 10.1016/j.jcmg.2008.06.005.	Comparison of hand-carried ultrasound assessment of the inferior vena cava and N-terminal pro-brain natriuretic peptide for predicting readmission after hospitalization for acute decompensated heart failure.	"Goonewardena SN(1), Gemignani A, Ronan A, Vasaiwala S, Blair J, Brennan JM, Shah  DP, Spencer KT."	 
22269626	Am J Med. 2012 Feb;125(2):209.e9-209.e15. doi: 10.1016/j.amjmed.2011.06.014.	The impact of prior heart failure hospitalizations on long-term mortality differs by baseline risk of death.	"Kommuri NV(1), Koelling TM, Hummel SL."	 
15494772	Can J Cardiol. 2004 Oct;20(12):1205-11.	Multidisciplinary outpatient congestive heart failure clinic: impact on hospital  admissions and emergency room visits.	"Martineau P(1), Frenette M, Blais L, Sauvé C."	 
24972141	EuroIntervention. 2014;9(12):1407-17. doi: 10.4244/EIJV9I12A238.	Failure of acute procedural success predicts adverse outcome after percutaneous edge-to-edge mitral valve repair with MitraClip.	"Puls M(1), Tichelbäcker T, Bleckmann A, Hünlich M, von der Ehe K, Beuthner BE, Rüter K, Beißbarth T, Seipelt R, Schöndube F, Hasenfuß G, Schillinger W."	 
17400665	Chest. 2007 Jun;131(6):1838-43. Epub 2007 Mar 30.	Acute pulmonary embolism is an independent predictor of adverse events in severe  decompensated heart failure patients.	"Darze ES(1), Latado AL, Guimarães AG, Guedes RA, Santos AB, de Moura SS, Passos LC."	 
11969280	Eur Heart J. 2002 Apr;23(8):650-7.	Substantial between-hospital variation in outcome following first emergency admission for heart failure.	"Stewart S(1), Demers C, Murdoch DR, McIntyre K, MacLeod ME, Kendrick S, Capewell  S, McMurray JJ."	 
CID: PMC4017659 PMID: 24684780	Mayo Clin Proc. 2014 May;89(5):623-30. doi: 10.1016/j.mayocp.2013.12.018. Epub 2014 Mar 29.	Impact of prior admissions on 30-day readmissions in medicare heart failure inpatients.	"Hummel SL(1), Katrapati P(2), Gillespie BW(3), Defranco AC(4), Koelling TM(2)."	 
19356488	JACC Cardiovasc Imaging. 2008 Sep;1(5):602-4. doi: 10.1016/j.jcmg.2008.06.004.	"Empowering physical examination: the ""laying on"" of ultrasound."	"Kimura BJ, Demaria AN."	 
22381163	Am J Cardiol. 2012 May 15;109(10):1482-6. doi: 10.1016/j.amjcard.2012.01.362. Epub 2012 Feb 28.	Acute kidney injury (AKI) and risk of readmissions in patients with heart failure.	"Thakar CV(1), Parikh PJ, Liu Y."	 
21586734	Circ Heart Fail. 2011 May;4(3):241-3. doi: 10.1161/CIRCHEARTFAILURE.111.962258.	Heart failure patients in skilled nursing facilities: evidence needed.	Pressler SJ.	 
18206525	Heart Lung. 2008 Jan-Feb;37(1):36-45. doi: 10.1016/j.hrtlng.2007.04.004.	Telehome monitoring in patients with cardiac disease who are at high risk of readmission.	"Woodend AK(1), Sherrard H, Fraser M, Stuewe L, Cheung T, Struthers C."	 
CID: PMC3865520 PMID: 23250981	Circ Heart Fail. 2013 Mar;6(2):240-5. doi: 10.1161/CIRCHEARTFAILURE.112.969246. Epub 2012 Dec 18.	"Markers of decongestion, dyspnea relief, and clinical outcomes among patients hospitalized with acute heart failure."	"Kociol RD(1), McNulty SE, Hernandez AF, Lee KL, Redfield MM, Tracy RP, Braunwald  E, O'Connor CM, Felker GM; NHLBI Heart Failure Network Steering Committee and Investigators."	 
CID: PMC3652256 PMID: 23484828	N Engl J Med. 2013 Mar 14;368(11):1019-26. doi: 10.1056/NEJMoa1200657.	Long-term outcomes in elderly survivors of in-hospital cardiac arrest.	"Chan PS(1), Nallamothu BK, Krumholz HM, Spertus JA, Li Y, Hammill BG, Curtis LH;  American Heart Association Get with the Guidelines–Resuscitation Investigators."	 
CID: PMC484766 PMID: 9196414	Heart. 1997 May;77(5):437-42.	Predictors of hospital readmission two years after coronary artery bypass grafting.	"Herlitz J(1), Albertsson P, Brandrup-Wognsen G, Emanuelsson H, Haglid M, Hartford M, Hjalmarson A, Karlson BW, Karlsson T, Sandén W."	 
CID: PMC4074427 PMID: 24886637	BMC Med Inform Decis Mak. 2014 May 27;14:41. doi: 10.1186/1472-6947-14-41.	A three-step approach for the derivation and validation of high-performing predictive models using an operational dataset: congestive heart failure readmission case study.	"AbdelRahman SE(1), Zhang M, Bray BE, Kawamoto K."	 
11524063	Am J Cardiol. 2001 Sep 1;88(5):530-3.	Mortality and readmission of hospitalized patients with congestive heart failure  and preserved versus depressed systolic function.	"Tsutsui H(1), Tsuchihashi M, Takeshita A."	 
15277779	Int J Health Care Finance Econ. 2004 Sep;4(3):211-30.	Changes in hospital quality after conversion in ownership status.	Farsi M(1).	 
20657609	Nat Rev Cardiol. 2010 Aug;7(8):422-4. doi: 10.1038/nrcardio.2010.102.	Heart failure: Early follow-up after hospitalization for heart failure.	"Gheorghiade M, Bonow RO."	 
